order_number,orderDate,Item Name,Quantity,ProductPrice,Totalproducts
8544,2018-01-10 15:32:53,Red Lobster,8,39.82,19
7722,2020-04-14 01:43:18,Wonder Bread,8,9.87,6
94071,2019-03-07 04:18:17,Burger King,8,52.37,24
24768,2021-05-03 02:53:04,Burger King,7,65.44,27
33293,2019-08-31 04:42:17,Dunkin' Donuts,3,59.28,23
49036,2018-09-29 07:23:52,Taco Bell,2,38.25,14
42878,2017-10-04 22:58:25,Dr. Oetker,6,18.66,25
63157,2017-02-04 14:55:52,Cobblestone,4,48.02,19
10617,2017-03-28 05:34:21,Betty Crocker,6,71.02,15
27281,2018-05-09 08:56:30,Kinder,6,22.28,4
4289,2016-12-04 20:23:10,Secret Recipe,8,41.51,16
20425,2020-01-27 07:36:23,Red Lobster,1,41.61,19
61125,2021-05-10 03:08:36,Nabisco,8,67.42,24
69834,2016-10-09 04:53:36,KFC,3,82.41,2
93872,2016-12-08 04:27:19,LEonidas,1,78.56,9
95844,2017-04-13 13:37:30,Baskin robbins,1,77.78,27
50636,2017-01-10 22:39:51,Kits,5,45.99,13
91591,2017-06-20 22:32:42,Domino,7,68.80,2
18212,2016-02-18 02:07:52,Cheetos,5,55.37,14
92198,2019-02-16 00:28:33,Betty Crocker,2,54.58,8
8172,2019-08-21 17:07:22,Soprole,3,5.91,2
42322,2018-01-13 22:44:45,Cheetos,1,84.76,11
53137,2021-08-24 01:30:31,Pizza Hut,2,52.98,27
26602,2017-01-16 01:31:57,Taco Bell,3,97.74,6
26014,2018-12-19 14:18:04,LEonidas,6,30.70,3
68620,2018-02-01 17:11:43,Nesquik,5,28.58,28
50149,2020-03-14 01:57:47,Nabisco,3,43.77,6
24333,2016-08-26 02:34:08,Kinder,3,75.43,27
82018,2021-06-19 18:53:15,Nutella,4,88.79,24
1363,2021-10-07 08:44:40,Taco Bell,5,66.49,24
32188,2016-11-13 11:29:50,LEonidas,3,20.05,21
79509,2020-10-04 19:37:10,LEonidas,9,15.69,26
83174,2018-04-01 14:54:12,Bel Group,7,35.88,17
57360,2019-12-08 05:36:37,Andy Capp's fries,4,31.05,20
